iter	Passed	Remaining
443	1301	1630
444	1305	1628
445	1308	1625
446	1310	1621
447	1313	1618
448	1315	1614
449	1319	1612
450	1323	1611
451	1326	1607
452	1328	1604
453	1331	1600
454	1333	1597
455	1337	1595
456	1339	1592
457	1342	1588
458	1344	1584
459	1346	1580
460	1349	1577
461	1352	1575
462	1355	1572
463	1358	1569
464	1360	1565
465	1362	1561
466	1365	1558
467	1367	1554
468	1370	1551
469	1372	1547
470	1374	1543
471	1376	1540
472	1379	1536
473	1381	1533
474	1383	1529
475	1386	1526
476	1389	1523
477	1391	1519
478	1393	1516
479	1396	1512
480	1398	1509
481	1401	1505
482	1403	1502
483	1405	1498
484	1407	1495
485	1410	1492
486	1413	1488
487	1415	1484
488	1417	1481
489	1420	1478
490	1422	1474
491	1424	1471
492	1427	1467
493	1429	1464
494	1431	1460
495	1435	1458
496	1437	1454
497	1439	1450
498	1442	1448
499	1444	1444
500	1448	1442
501	1450	1439
502	1453	1435
503	1456	1433
504	1458	1429
505	1460	1426
506	1464	1423
507	1466	1420
508	1468	1416
509	1471	1413
510	1473	1410
511	1476	1406
512	1479	1404
513	1481	1400
514	1483	1396
515	1486	1394
516	1488	1390
517	1490	1387
518	1494	1385
519	1496	1381
520	1499	1378
521	1501	1375
522	1504	1371
523	1506	1368
524	1510	1366
525	1513	1363
526	1516	1360
527	1518	1357
528	1521	1354
529	1525	1352
530	1528	1349
531	1531	1346
532	1533	1343
533	1536	1340
534	1539	1338
535	1541	1334
536	1544	1331
537	1545	1327
538	1547	1323
539	1550	1320
540	1553	1318
541	1555	1314
542	1557	1311
543	1561	1308
544	1562	1304
545	1565	1301
546	1568	1298
547	1570	1295
548	1572	1292
549	1576	1289
550	1578	1286
551	1579	1281
552	1583	1279
553	1586	1277
554	1589	1274
555	1591	1271
556	1594	1267
557	1597	1265
558	1599	1262
559	1602	1258
560	1604	1255
561	1607	1252
562	1609	1249
563	1612	1246
564	1614	1243
565	1617	1240
566	1619	1236
567	1621	1233
568	1624	1230
569	1626	1226
570	1629	1223
571	1631	1220
572	1634	1217
573	1636	1214
574	1638	1211
575	1640	1207
576	1643	1204
577	1646	1201
578	1648	1198
579	1651	1195
580	1654	1192
581	1656	1189
582	1659	1186
583	1660	1182
584	1663	1180
585	1667	1177
586	1670	1174
587	1672	1171
588	1675	1169
589	1678	1166
590	1681	1163
591	1686	1162
592	1691	1160
593	1705	1165
594	1723	1173
595	1728	1171
596	1730	1168
597	1734	1165
598	1736	1162
599	1739	1159
600	1741	1156
601	1744	1153
602	1746	1149
603	1748	1146
604	1751	1143
605	1754	1140
606	1756	1137
607	1759	1134
608	1761	1130
609	1763	1127
610	1766	1124
611	1769	1121
612	1772	1119
613	1773	1115
614	1776	1111
615	1779	1109
616	1781	1106
617	1783	1102
618	1785	1098
619	1786	1094
620	1789	1092
621	1793	1089
622	1795	1086
623	1798	1083
624	1800	1080
625	1803	1077
626	1805	1073
627	1807	1070
628	1810	1067
629	1812	1064
630	1814	1061
631	1815	1057
632	1817	1054
633	1820	1051
634	1824	1048
635	1826	1045
636	1829	1042
637	1831	1039
638	1833	1035
639	1836	1033
640	1840	1030
641	1843	1027
642	1845	1024
643	1848	1021
644	1850	1018
645	1854	1016
646	1857	1013
647	1859	1010
648	1861	1006
649	1863	1003
650	1866	1000
651	1869	997
652	1871	994
653	1875	992
654	1877	988
655	1881	986
656	1884	983
657	1886	980
658	1889	977
659	1891	974
660	1893	970
661	1895	967
662	1898	965
663	1901	962
664	1903	958
665	1905	955
666	1907	952
667	1910	949
668	1912	946
669	1915	943
670	1917	940
671	1919	937
672	1921	933
673	1924	930
674	1926	927
675	1930	925
676	1933	922
677	1935	919
678	1938	916
679	1939	912
680	1941	909
681	1944	906
682	1947	904
683	1950	901
684	1952	897
685	1955	894
686	1957	891
687	1959	888
688	1962	885
689	1964	882
690	1967	879
691	1969	876
692	1971	873
693	1973	870
694	1977	867
695	1979	864
696	1981	861
697	1983	858
698	1986	855
699	1988	852
700	1990	849
701	1993	846
702	1996	843
703	1998	840
704	2000	837
705	2002	834
706	2005	830
707	2008	828
708	2011	825
709	2013	822
710	2015	819
711	2017	816
712	2020	813
713	2022	810
714	2025	807
715	2027	804
716	2030	801
717	2032	798
718	2034	795
719	2037	792
720	2039	789
721	2042	786
722	2045	783
723	2048	780
724	2052	778
725	2054	775
726	2056	772
727	2058	769
728	2061	766
729	2063	763
730	2065	760
731	2068	757
732	2070	754
733	2073	751
734	2075	748
735	2077	745
736	2080	742
737	2082	739
738	2084	736
739	2087	733
740	2089	730
741	2091	727
742	2093	724
743	2095	721
744	2097	718
745	2100	715
746	2102	712
747	2104	709
748	2107	706
749	2109	703
750	2111	700
751	2114	697
752	2116	694
753	2118	691
754	2120	688
755	2122	685
756	2124	682
757	2126	678
758	2128	675
759	2130	672
760	2133	669
761	2135	666
762	2137	663
763	2139	660
764	2141	657
765	2143	654
766	2146	652
767	2148	649
768	2150	646
769	2153	643
770	2155	640
771	2157	637
772	2158	633
773	2160	630
774	2162	627
775	2164	624
776	2166	621
777	2168	618
778	2171	615
779	2173	613
780	2176	610
781	2177	606
782	2179	604
783	2181	601
784	2184	598
785	2186	595
786	2188	592
787	2190	589
788	2192	586
789	2194	583
790	2196	580
791	2198	577
792	2200	574
793	2203	571
794	2205	568
795	2207	565
796	2209	562
797	2212	560
798	2214	557
799	2216	554
800	2219	551
801	2221	548
802	2223	545
803	2225	542
804	2228	539
805	2231	537
806	2234	534
807	2238	531
808	2242	529
809	2245	526
810	2247	523
811	2250	521
812	2252	518
813	2254	515
814	2258	512
815	2260	509
816	2262	506
817	2266	504
818	2268	501
819	2270	498
820	2274	495
821	2276	493
822	2279	490
823	2282	487
824	2284	484
825	2287	481
826	2289	479
827	2292	476
828	2295	473
829	2297	470
830	2299	467
831	2303	465
832	2305	462
833	2307	459
834	2310	456
835	2313	453
836	2315	450
837	2318	448
838	2320	445
839	2323	442
840	2326	439
841	2328	436
842	2330	434
843	2334	431
844	2337	428
845	2341	426
846	2343	423
847	2345	420
848	2348	417
849	2350	414
850	2353	411
851	2356	409
852	2358	406
853	2360	403
854	2363	400
855	2365	397
856	2368	395
857	2371	392
858	2373	389
859	2375	386
860	2378	383
861	2380	381
862	2382	378
863	2385	375
864	2388	372
865	2390	369
866	2393	367
867	2395	364
868	2398	361
869	2401	358
870	2403	355
871	2405	353
872	2408	350
873	2410	347
874	2413	344
875	2415	341
876	2416	338
877	2418	336
878	2422	333
879	2424	330
880	2426	327
881	2430	325
882	2433	322
883	2436	319
884	2438	316
885	2442	314
886	2445	311
887	2448	308
888	2450	305
889	2453	303
890	2455	300
891	2458	297
892	2461	294
893	2465	292
894	2469	289
895	2474	287
896	2478	284
897	2483	282
898	2487	279
899	2490	276
900	2493	273
901	2496	271
902	2499	268
903	2501	265
904	2504	262
905	2507	260
906	2509	257
907	2511	254
908	2514	251
909	2516	248
910	2519	246
911	2521	243
912	2523	240
913	2526	237
914	2529	234
915	2534	232
916	2537	229
917	2541	226
918	2543	224
919	2546	221
920	2548	218
921	2551	215
922	2554	213
923	2557	210
924	2559	207
925	2561	204
926	2564	201
927	2566	199
928	2569	196
929	2571	193
930	2573	190
931	2576	187
932	2578	185
933	2580	182
934	2582	179
935	2585	176
936	2587	173
937	2589	171
938	2592	168
939	2594	165
940	2596	162
941	2599	160
942	2601	157
943	2603	154
944	2605	151
945	2608	148
946	2610	146
947	2614	143
948	2617	140
949	2620	137
950	2622	135
951	2624	132
952	2626	129
953	2628	126
954	2632	124
955	2634	121
956	2636	118
957	2639	115
958	2641	112
959	2643	110
960	2645	107
961	2647	104
962	2650	101
963	2652	99
964	2654	96
965	2656	93
966	2658	90
967	2660	87
968	2663	85
969	2665	82
970	2667	79
971	2669	76
972	2672	74
973	2674	71
974	2677	68
975	2679	65
976	2681	63
977	2683	60
978	2685	57
979	2687	54
980	2689	52
981	2692	49
982	2694	46
983	2696	43
984	2698	41
985	2701	38
986	2703	35
987	2705	32
988	2707	30
989	2709	27
990	2712	24
991	2714	21
992	2716	19
993	2718	16
994	2720	13
995	2722	10
996	2724	8
997	2726	5
998	2729	2
999	2731	0
